type,msg,x,degree,numTerms,blMod,t0,buildTask,publishTaskIPFS,publishTaskETH,workerPullTask,workerProcessTask,workerSubmitResultIPFS,workerSubmitResultETH,userTriggerVerify,userVerify,oracleVerify,invokeVerification,gasUsed
MULTIVAR,test,2,64,25,1024,333467659625560,42349,0,0,0,1283415,14553,0,0,0,5915,103154799,96085
MULTIVAR,test,2,64,25,1024,333467769140335,52652,0,0,0,1380897,10302,0,0,0,6399,126495109,109116
MULTIVAR,test,2,64,25,1024,333467904066952,56381,0,0,0,2997242,12068,0,0,0,9595,281716420,149612
MULTIVAR,test,2,64,25,1024,333468193950308,50070,0,0,0,1136558,10359,0,0,0,5301,117951898,87417
MULTIVAR,test,2,64,25,1024,333468318023380,64726,0,0,0,599007,8757,0,0,0,10855,248191291,157815
MULTIVAR,test,2,64,25,1024,333468572006060,47331,0,0,0,1405798,10813,0,0,0,8073,188872686,103417
MULTIVAR,test,2,64,25,1024,333468767447087,45783,0,0,0,1494121,14329,0,0,0,5960,128793844,84816
MULTIVAR,test,2,64,25,1024,333468904877009,55697,0,0,0,1153164,16238,0,0,0,7663,110802290,83562
MULTIVAR,test,2,64,25,1024,333469022142903,56632,0,0,0,846731,13535,0,0,0,6069,111882942,87491
MULTIVAR,test,2,64,25,1024,333469140018848,52380,0,0,0,1634799,13239,0,0,0,11053,376511732,191241
MULTIVAR,test,2,64,25,1024,333469525973329,59624,0,0,0,652043,36521,0,0,0,9579,113977490,98166
MULTIVAR,test,2,64,25,1024,333469646443169,62787,0,0,0,1159855,11224,0,0,0,8142,105262554,83526
MULTIVAR,test,2,64,25,1024,333469758442472,68265,0,0,0,1095066,21772,0,0,0,7103,114399557,92780
MULTIVAR,test,2,64,25,1024,333469879571437,128547,0,0,0,1384393,16564,0,0,0,7354,112692182,89952
MULTIVAR,test,2,64,25,1024,333469998839696,51603,0,0,0,749368,11203,0,0,0,11387,260666414,138445
MULTIVAR,test,2,64,25,1024,333470265826893,57590,0,0,0,1475899,13787,0,0,0,7233,122048760,84605
MULTIVAR,test,2,64,25,1024,333470394351634,40591,0,0,0,1384109,11364,0,0,0,10314,188183240,136363
MULTIVAR,test,2,64,25,1024,333470589094846,48725,0,0,0,1454083,11124,0,0,0,6497,109278883,99278
MULTIVAR,test,2,64,25,1024,333470704697837,56659,0,0,0,765859,9019,0,0,0,4781,138509524,87679
MULTIVAR,test,2,64,25,1024,333470849292282,41571,0,0,0,1288278,15588,0,0,0,6396,125375834,83514
MULTIVAR,test,2,64,25,1024,333470982339304,79421,0,0,0,5168883,11075,0,0,0,8823,150074616,99125
MULTIVAR,test,2,64,25,1024,333471142547013,40886,0,0,0,1356835,11810,0,0,0,7171,110210585,98041
MULTIVAR,test,2,64,25,1024,333471259140706,52448,0,0,0,1341886,16871,0,0,0,6730,103119274,92092
MULTIVAR,test,2,64,25,1024,333471368357056,43076,0,0,0,1150312,15437,0,0,0,12173,326554451,173763
